filename,notes,authors,licenses,urls
"beards/beard/5oclock_shadow/walk.png","Original by Pennomi, repositioning by JaidynReiman.","JaidynReiman,Thane Brimhall (pennomi),laetissima","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions"
"body/bodies/male/walk.png","see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases"
"cape/solid/bg/walk.png","","Nila122,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://opengameart.org/content/lpc-roman-armor"
"cape/solid/fg/walk.png","","bluecarrot16,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://opengameart.org/content/lpc-roman-armor,http://opengameart.org/content/lpc-clothing-updates"
"facial/earrings/simple/left/adult/walk.png","","bluecarrot16","CC0","https://opengameart.org/content/lpc-pirates"
"facial/glasses/shades/adult/walk.png","Original by Pennomi, repositioning and recolors by JaidynReiman.","JaidynReiman,Thane Brimhall (pennomi),laetissima","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions"
"feet/shoes/revised/male/walk.png","original overalls and shoes by ElizaWy, base animations adapted from v3 overalls by bluecarrot16, shoes by JaidynReiman","JaidynReiman,ElizaWy,Bluecarrot16,Stephen Challener (Redshrike),Johannes Sjölund (wulax)","OGA-BY 3.0,GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-socks-shoes"
"hair/balding/adult/walk.png","","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair"
"hair/buzzcut/adult/walk.png","","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair"
"hair/curly_short/adult/walk.png","","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/idol/adult/walk.png","Original CC0 by Thecilekli. Edited by bluecarrot16 and ElizaWy. Animated by ElizaWy.","thecilekli,bluecarrot16","CC0","https://opengameart.org/content/lpc-korean-idol-hairstyle-male-with-12-colors,https://opengameart.org/content/lpc-hair,https://github.com/ElizaWy/LPC/tree/main/Characters/Hair,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/parted/adult/walk.png","down 4 and 5 added by JaidynReiman; recolors by Joe White; original by Manuel Riecke (MrBeast)","JaidynReiman,Joe White,Manuel Riecke (MrBeast)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24,https://opengameart.org/content/lpc-expanded-hair"
"hair/spiked/adult/walk.png","","kcilds/Rocetti/Eredah","CC-BY 4.0","https://opengameart.org/content/eredah-rpg-character-base-48x64-ongoing,https://opengameart.org/content/lpc-hair"
"hat/headband/tied/adult/walk.png","","Nila122","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-lizard-headgear,https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"head/faces/male/blush/walk.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman,ElizaWy,Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head,https://opengameart.org/content/ulpc-expanded-expressions"
"head/heads/human/male_elderly/walk.png","","Benjamin K. Smith (BenCreating),Eliza Wyatt (ElizaWy),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-revised-elders,https://opengameart.org/content/lpc-character-bases"
"head/heads/human/male_plump/walk.png","original head by Redshrike, plump version by ??","Stephen Challener (Redshrike),??","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-folk"
"head/heads/human/male/walk.png","original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases"
"head/wrinkles/walk.png","","bluecarrot16","CC0",""
"legs/pants/male/walk.png","original male pants by wulax, recolors and edits to v3 base by bluecarrot16, climb/jump/run/sit/emotes/revised combat by JaidynReiman based on ElizaWy's LPC Revised","bluecarrot16,JaidynReiman,ElizaWy,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-expanded-pants"
"neck/necklace/chain/male/walk.png","","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
"neck/tie/necktie/male/walk.png","Originally by pennomi/laetissima/Makrohn, edited by bluecarrot16, animations and recolors by JaidynReiman","JaidynReiman,bluecarrot16,Thane Brimhall (pennomi),laetissima,Makrohn","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-2-characters,https://opengameart.org/content/lpc-gentleman"
"torso/clothes/longsleeve/formal/male/walk.png","","bluecarrot16,Thane Brimhall (pennomi),laetissima,Stephen Challener (Redshrike),Johannes Sjölund (wulax)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-2-characters,https://opengameart.org/content/lpc-gentleman"
"torso/clothes/shortsleeve/shortsleeve/male/walk.png","original by ElizaWy walkcycle only; extended to all animations by adapting from longsleeve, edited to v3 bases by bluecarrot16; cleanup and climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman","bluecarrot16,ElizaWy,JaidynReiman,Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,http://opengameart.org/content/lpc-revised-character-basics,http://opengameart.org/content/lpc-clothing-updates,https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/jacket/collared/male/walk.png","","bluecarrot16","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-gentleman,https://opengameart.org/content/lpc-pirates"
"weapon/polearm/cane/male/walk.png","","bluecarrot16","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-gentleman"
